new_stu_id,original_stu_id
stu_QSWWE57761,stu_IDHIE84911
stu_PSNRU45594,stu_KOUYR40301
stu_QQDWM51065,stu_HMQRZ27503
stu_HGFJQ80873,stu_OCRTY88035
stu_QKNAO55928,stu_KFYJM61476
stu_TSQST27756,stu_GXMFA19655
stu_ODODJ61119,stu_RUZUK44953
stu_GRNVQ25429,stu_QACJQ31561
stu_UFCSB59376,stu_MMZHT88458
stu_JEJUG63967,stu_QFXDD68186
stu_VPHWX58256,stu_XXEBH66449
stu_FBJFW90765,stu_UJNMI16598
stu_ACVNQ91570,stu_KDTSN49120
